Tanggal,Tweet Id,Teks,Username
2022-06-29 15:22:05+00:00,1542166522604359681,"@upaaaeyo Mohon maaf atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Trims -Asgar",pln_123
2022-06-29 15:18:43+00:00,1542165676000890883,"@freedaey   Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami.
Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. 
[2/2] Tks -Bian",pln_123
2022-06-29 15:09:07+00:00,1542163257116348416,"@wulanindrisaftr  Mohon maaf Kak Wulan atas gangguan padam yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
2022-06-29 15:06:21+00:00,1542162560862269440,"@AgusE2003   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 15:05:27+00:00,1542162334046916613,"@EchaKabeel   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 15:03:39+00:00,1542161882966269953,"@pitdap   Mohon maaf atas keluhan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 14:29:27+00:00,1542153277860724737,"@ddianddian Mohon maaf atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Asgar",pln_123
2022-06-29 13:09:52+00:00,1542133249098809344,"@galih_purbajati Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Trims -Asgar",pln_123
2022-06-29 12:52:41+00:00,1542128925702504448,"@AniNauval Mohon maaf atas keluhan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Asgar",pln_123
2022-06-29 12:39:58+00:00,1542125725758914561,"@DJuahaeri Mohon maaf atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Trims -Asgar",pln_123
2022-06-29 11:58:02+00:00,1542115172302876672,@sbmptnfess Struk listrik bs liat di aplikasi pln mobile 3 bulan terakhir nya kaq,oucheesecake
2022-06-29 11:38:39+00:00,1542110293462986753,"@eko_SKAta Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks -Asgar",pln_123
2022-06-29 11:02:32+00:00,1542101204884660226,"@Genjorbips  Mohon maaf Kakak atas gangguan padam yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
2022-06-29 10:35:46+00:00,1542094467745714176,"@joe_weisly Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store. Tks -Maria",pln_123
2022-06-29 10:22:59+00:00,1542091250991796224,"@gembulcekali Mohon maaf ya Kak atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM.

Tks - Agung.",pln_123
2022-06-29 10:21:27+00:00,1542090865619140608,"@marls_kingdom   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Trims -Alvin",pln_123
2022-06-29 10:14:10+00:00,1542089030917292032,"@eagleteam77 Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Trims -Ardhi",pln_123
2022-06-29 10:12:24+00:00,1542088587826835456,@mudaav   Baik kakak terima kasih kembali. Ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. Tks -Alvin,pln_123
2022-06-29 09:59:12+00:00,1542085266302976000,"@joe_weisly  Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami.  Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store.
(4/4)
Trimrs -Asgar",pln_123
2022-06-29 09:30:59+00:00,1542078166537502720,"@joe_weisly Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. 
Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. 

Thanks. -Tari",pln_123
2022-06-29 09:11:11+00:00,1542073180407631872,"@evamarcelina Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store,
(2/2)
Tks.-Asgar",pln_123
2022-06-29 08:53:44+00:00,1542068789785038848,"@bram_radity Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. Terima kasih telah menghubungi PLN 123. (2)
Trims. Herni",pln_123
2022-06-29 08:49:12+00:00,1542067650637201408,"@ciciyuswa Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. Tks -Yanti",pln_123
2022-06-29 08:45:12+00:00,1542066640871129088,"@syamsuok Mohon maaf ya Kak atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM.

Tks - Agung.",pln_123
2022-06-29 08:44:02+00:00,1542066350033891328,"@fknlonelyboy Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau Kakak dapat informasikan permasalahannya melalui DM. Tks-Bestari",pln_123
